,Membrane Potential (mV),pr2445_A23,pr2445_B24,pr2445_C17,pr2445_D20,pr2445_F24,pr2445_H2,pr2445_I11,pr2445_K18,pr2445_M20,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_M13
0,ACT_-100.0,0.0,0.0,0.005392241124750293,0.0035516010447909454,0.0027498807266726124,0.0,0.0,0.0,0.0015480310716197998,0.0007987575197331508,0.006802161831726794,0.0,0.0
1,ACT_-95.0,0.002756242890642506,0.003381294940142142,0.0,0.0,0.0,0.008161010036112014,0.008477609777268311,0.0008509216092832878,0.0,0.0,0.0,0.0007592976582860795,0.011526782804160012
2,ACT_-90.0,0.011859664913632956,0.0013546326848516619,0.013958880471279772,0.02046728316595872,0.0015011099698754862,0.003076295483153964,0.00899580918589519,0.001874287167675078,0.004961592536885824,0.015264532894926058,0.0024932919258864594,0.002296043039986001,0.010244673262294156
3,ACT_-85.0,0.03005952425872932,0.003782679014420591,0.014147852051124645,0.006800252005154099,0.012636715976280757,0.01612773906471704,0.021737468270024367,0.014970603848718046,0.00871399764156187,0.0240616971645487,6.775528821500894e-05,0.005546431838614253,0.020470293587858984
4,ACT_-80.0,0.02306091534735971,0.006977659816365702,0.018313040543669508,0.01702285732586005,0.012455400940541025,0.007001169912796365,0.04711722633900882,0.01510916082639693,0.019527877357745867,0.02526145841343827,0.018396587350580692,0.003646961848369699,0.03230984028366614
5,ACT_-75.0,0.03287889911999565,0.008624105171568993,0.016030208541949226,0.025350447088099155,0.012973671886266804,0.009195945476544377,0.036828191795991685,0.029587916693396703,0.011208333453642033,0.026261809268910415,0.008653290467134572,0.007016813998756464,0.03302250507815828
6,ACT_-70.0,0.029534819198091446,0.010635573067440753,0.0375504670534741,0.025447265956280073,0.016127738063912066,0.027695252459977112,0.0508372162864117,0.027914650148287232,0.02397505982070658,0.04082549314122815,0.013937464533093583,0.007549308148806678,0.04006360173390619
7,ACT_-65.0,0.03738134596822513,0.01470707054171303,0.03604435507924373,0.03365685260388096,0.021296719476268364,0.03966681823866274,0.04868525047930278,0.03532742243059637,0.015865316743220084,0.05587084932955855,0.0272064710081702,0.012888455752220402,0.06349800064754697
8,ACT_-60.0,0.08569464775334251,0.025969623153948414,0.05089365413068867,0.046319443956285594,0.02655126837646515,0.04753495150722447,0.07829718590031175,0.07517654838300881,0.0328993840994907,0.043174533362364806,0.03425077977008541,0.02188742995790193,0.07612360750379163
9,ACT_-55.0,0.12379288371415674,0.03855521775595507,0.07137856257698466,0.041281642568265775,0.04300222155786278,0.06583937668937029,0.10491082507513734,0.08996083501459903,0.025982193822312257,0.0548390445944838,0.03481786141875568,0.030350448997245243,0.11770094534371628
10,ACT_-50.0,0.12004395664062002,0.06534288255232357,0.09812644904314229,0.08563367324463385,0.055427104271195016,0.07097304207093459,0.12627367149746768,0.14093206942592612,0.05526418561294352,0.0782291342991289,0.05685469609604056,0.045302213323765106,0.20174014950156002
11,ACT_-45.0,0.1677774068607081,0.10515288270312657,0.18733705000640577,0.14378230865308217,0.07760661934403218,0.09738552333510411,0.18697079770380418,0.20553595061731436,0.05653996612871794,0.11785017558793023,0.0970733770223904,0.0681149922214771,0.28293652900741806
12,ACT_-40.0,0.21257307712155454,0.18427268289345974,0.3034078895348216,0.20591337165130522,0.10555345041562185,0.14930883551609278,0.2702302427693101,0.38495071769822975,0.04228536037102473,0.17502091425380048,0.17631711052222804,0.12017678999673462,0.4001772020128671
13,ACT_-35.0,0.3538605914786625,0.2687696048021926,0.4933835228874581,0.3712933118282308,0.16549059974151117,0.2116052036881207,0.35102898228529883,0.4780319041648786,0.05784798510826199,0.24700935696170015,0.3084383192660089,0.18266523094358786,0.5369968144618599
14,ACT_-30.0,0.5021363783272291,0.37092356930714176,0.6536308969704261,0.5066554853126367,0.2652744928400087,0.2955818769414118,0.4485914071391919,0.6212532989765606,0.11366063440548178,0.36224973163628843,0.44056781396596795,0.2562468240553214,0.6358561622541735
