,pr2445_A21,pr2445_B24,pr2445_D11,pr2445_D20,pr2445_F24,pr2445_I11,pr2445_L18,pr2445_M20,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_H14,pr2453_H18,pr2453_I12,pr2453_I14,pr2453_J10,pr2453_J14,pr2453_K5,pr2453_M13,pr2453_P24,pr2461_E20,pr2461_L16,pr2461_M24
FIN_Single Boltzmann,0.2209558937980029,0.26013870662246164,0.10529273500210388,0.2778543712507144,0.18171516933202292,0.5049315291421297,0.14790962640042504,0.19417350657406954,0.30400218810892526,0.19467410317688583,0.10108661031610779,0.2608175697635056,0.5007297388926214,0.44581718587734015,0.2713350668069694,0.42772931930985686,0.4609557833365851,0.47779541359345507,0.4777328096870292,0.27631588575772315,0.3110732646809848,0.35108015027483935,0.3466540257748509
FIN_Double Boltzmann,0.06171061790296127,0.056594634959213984,Failed,0.049028543893803705,Failed,0.08271775913301153,0.05827907468513349,0.0486335881177254,0.07471609293803248,0.02948855976792592,0.026699037605278537,0.11383992449310319,0.21952210140298375,0.13332651783069083,0.11869825859070483,Failed,0.22868427864785978,0.16596985233230876,Failed,0.12706713854325238,0.08740100243407588,0.13516784662484746,0.084567449361123
FIN_Bin,double,double,single,double,single,double,double,double,double,double,double,double,double,double,double,single,double,double,single,double,double,double,double
FIN_v,-58.36655837460378,-67.164223797193,-44.63031842621551,-65.20510602920932,-49.39963182968876,-66.07448276525572,-51.67275093376665,-48.88482189569057,-67.94489099235831,-58.597473175649995,-62.499705577056176,-59.441902062420674,-43.70488273208822,-66.32234313291973,-74.87085858443398,-62.69306889494254,-36.68247369708754,-61.29463822803247,-48.60740610584327,-67.19556183819726,-71.75576550163419,-67.05354574987955,-54.09133766609223
FIN_k,13.944977726324838,12.955175495137285,12.438072999603285,13.083261603945072,10.255433256707775,20.20895709298305,12.18092472451325,16.65830049598088,15.134292651020516,10.010474988820631,9.511472658697523,16.32908408548027,39.01490492194727,9.831874554461812,10.638874046076587,18.05620268131093,39.62318851865877,26.5348215766387,30.226002186485168,12.100845518547152,10.984595676815875,15.335624038539136,15.70421365201055
FIN_y0,1.294233854800469,1.1431556715026412,Failed,1.3314191520700034,Failed,1.090386698004464,1.0698739590548285,1.0573721867524664,1.0891682850141213,1.0601662322312895,1.0256839383259595,1.075769181560488,0.9810855112265539,1.0093339721062073,1.2185227112583314,Failed,0.9858355267068892,1.5750900581431293,Failed,1.056551873251569,1.064113219832727,1.5902077980261937,0.9345489347557961
FIN_A,-1.188444596595668,-1.0384716966162442,,-1.2158513563446756,,-0.9085230408144203,-0.9979379903743021,-0.9500158281444756,-0.9747673803379368,-0.9687866148732754,-0.9789866443531781,-0.9624841734605533,-0.7116733349874281,-0.8451269946925332,-1.152777331905431,,-0.7020234513661668,-1.6140519162822848,,-0.9683050713507054,-0.9721551345720634,-1.822528194581032,-0.7716557906213033
FIN_z1,-101.19548914670408,-92.49754851895958,,-102.30273138632066,,-83.52326811781404,-68.63306061446082,-78.97714243585183,-79.23692857542912,-88.96055349080106,-68.93751762638696,-69.9268159953836,-62.88800902877299,-80.51720134417205,-71.97262003003715,,-65.33114701987911,-76.22352481060722,,-61.72947936276195,-64.45884922099219,-82.62660416611017,-60.51519258601118
FIN_z2,-56.16384354364634,-62.43728121073565,,-62.590622734707715,,-67.75114973016106,-48.580462610030544,-42.56127710188119,-62.28327597836936,-56.709495829849836,-56.09516417498307,-44.87710558632753,-49.957365059832966,-65.10474003614668,-47.89212986692163,,-47.719149043805665,-17.086124615838344,,-48.003801139405134,-54.504232649715966,-89.88420563064008,-45.12640721445304
FIN_k1,-15.411105719930882,-8.64654525556281,,-9.843015348429018,,-11.109956518968147,-16.296540654947826,-14.117246561086297,-12.554157189135825,-9.721994251305606,-9.817441643076316,-12.048104274086354,-8.319085731834914,-5.753770952388275,-15.422814256674677,,-11.005492201277912,-21.503683261094185,,-12.089612207044466,-10.880080857922378,-10.948929271212993,-5.87724777968811
FIN_k2,-6.351361529621449,-6.121491566205065,,-5.545794181535649,,-1.7360339479104518,-4.9144139145376915,-5.117335616095686,-0.05927880635546012,-4.866782808534481,-3.3546180767139795,-0.19262813794155473,-0.2441935309926942,-3.389171349236276,-7.725727785940044,,-0.043012943775266654,11.15368676167446,,-7.723009807976142,-7.002428004295282,0.17550916788146903,-0.1971829299360449
FIN_p,0.4772025063511305,0.46546902246486443,,0.48939059668607304,,0.6879877462421126,0.5172153956535764,0.4561185244778527,0.8333223178006636,0.2710522844907171,0.7196062170670949,0.9181158189094998,1.2477924647337009,0.4110995292935258,1.4430872332411524,,0.8087432459249676,0.8539927473694081,,1.703008766335075,2.084164131900053,0.8040509125791996,0.8698122453870166
