,Membrane Potential (mV),pr2445_A21,pr2445_B24,pr2445_D11,pr2445_D20,pr2445_F24,pr2445_I11,pr2445_L18,pr2445_M20,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_H14,pr2453_H18,pr2453_I12,pr2453_I14,pr2453_J10,pr2453_J14,pr2453_K5,pr2453_M13,pr2453_P24,pr2461_E20,pr2461_L16,pr2461_M24
0,-100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.947206,1.0,1.0,1.0,0.944057,1.0,0.977672,0.978797,1.0,0.954273,1.0
1,-95.0,0.939506,0.932791,0.986926,0.923734,0.959155,0.903633,0.975862,0.932198,0.877772,0.963768,0.975524,0.975955,0.990053,0.986489,0.903896,0.952813,0.983454,0.933928,1.0,1.0,0.946978,0.905246,0.920444
2,-90.0,0.934983,0.859567,0.971591,0.862338,0.966262,0.838211,0.978496,0.897136,0.811018,0.931574,0.951012,0.937456,1.0,0.958826,0.827814,0.887559,1.0,0.847676,0.946342,0.920541,0.876268,0.859876,0.883732
3,-85.0,0.873638,0.78429,0.946013,0.816206,0.97863,0.813843,0.91727,0.898057,0.768178,0.900691,0.917035,0.88776,0.87682,0.86391,0.680431,0.880769,0.808451,0.785248,0.952128,0.818086,0.846944,1.0,0.920937
4,-80.0,0.790283,0.733206,0.890092,0.774678,0.905585,0.751196,0.922194,0.85781,0.716156,0.875044,0.844809,0.834867,0.86964,0.85848,0.652724,0.846305,0.854307,0.759937,0.921797,0.703513,0.660474,0.657042,0.911471
5,-75.0,0.783638,0.654451,0.854015,0.706982,0.910041,0.644551,0.853586,0.809204,0.645222,0.832297,0.782404,0.700591,0.792245,0.723803,0.48007,0.69127,0.785333,0.629932,0.854797,0.735039,0.558439,0.685177,0.870066
6,-70.0,0.751968,0.560464,0.827739,0.62284,0.918222,0.550633,0.798955,0.793014,0.541786,0.780947,0.687561,0.624833,0.711411,0.607565,0.374165,0.609971,0.821968,0.520329,0.742645,0.54376,0.452251,0.439446,0.8211
7,-65.0,0.660009,0.451078,0.80596,0.50202,0.820963,0.325244,0.761358,0.706156,0.454565,0.708646,0.586326,0.55372,0.649965,0.430834,0.230821,0.467157,0.729594,0.440356,0.61472,0.422726,0.253021,0.37429,0.735378
8,-60.0,0.536019,0.349654,0.755828,0.375451,0.749304,0.268601,0.726024,0.713353,0.291995,0.575747,0.456625,0.439633,0.441879,0.283905,0.163543,0.298751,0.621406,0.355739,0.431541,0.276368,0.137582,0.267832,0.587056
9,-55.0,0.394914,0.239556,0.709987,0.24363,0.697445,0.243672,0.596321,0.627201,0.182335,0.385483,0.300406,0.430764,0.330278,0.1687,0.111118,0.236633,0.5828,0.528076,0.312094,0.170922,0.180952,0.254823,0.435611
10,-50.0,0.321725,0.177228,0.67169,0.170286,0.548404,0.209189,0.460787,0.599904,0.179249,0.246872,0.174447,0.315528,0.329142,0.139322,0.132319,0.196885,0.505548,0.223244,0.300972,0.188821,0.161256,0.213439,0.368018
11,-45.0,0.215903,0.135111,0.592529,0.146138,0.330663,0.18808,0.347727,0.445246,0.155657,0.149688,0.103865,0.263942,0.357742,0.104593,0.072203,0.206138,0.353837,0.213024,0.298747,0.158406,0.142439,0.152904,0.242266
12,-40.0,0.137103,0.109973,0.422134,0.111762,0.227236,0.154507,0.211297,0.334501,0.140546,0.108179,0.10734,0.159315,0.307168,0.145565,0.111249,0.213259,0.28095,0.186089,0.31512,0.10224,0.169735,0.161582,0.180212
13,-35.0,0.142251,0.08812,0.336665,0.107952,0.132522,0.17793,0.147169,0.223382,0.129044,0.09839,0.052523,0.17063,0.283759,0.143668,0.126893,0.161657,0.313296,0.188636,0.283117,0.199376,0.167608,0.186863,0.17671
14,-30.0,0.120671,0.074992,0.180888,0.111315,0.139482,0.153805,0.145598,0.164337,0.141968,0.085482,0.066195,0.199531,0.257438,0.137754,0.21034,0.187617,0.374695,0.155182,0.292812,0.112394,0.12988,0.137906,0.155258
15,-25.0,0.133218,0.099178,0.093087,0.114153,0.086148,0.14158,0.068142,0.117541,0.13839,0.085466,0.041147,0.103391,0.268659,0.145801,0.033407,0.174175,0.292929,0.165538,0.251526,0.102295,0.134834,0.175353,0.165191
16,-20.0,0.128433,0.098025,0.10198,0.148952,0.128976,0.195766,0.095231,0.132584,0.115932,0.079677,0.053311,0.073147,0.415356,0.158481,0.056914,0.18877,0.250857,0.164954,0.226655,0.093254,0.109562,0.152386,0.136085
17,-15.0,0.105048,0.095049,0.083834,0.107416,0.090828,0.1772,0.102807,0.102674,0.113069,0.078446,0.047238,0.195268,0.306429,0.157018,0.108452,0.185105,0.356834,0.153507,0.276188,0.164186,0.112822,0.158936,0.205208
18,-10.0,0.104881,0.098395,-0.01099,0.096794,0.103318,0.166993,0.12446,0.108329,0.138596,0.087113,0.043254,0.156655,0.315996,0.087924,0.081658,0.184142,0.313404,0.17476,0.213414,0.129253,0.119612,0.121551,0.149803
19,-5.0,0.091392,0.085516,0.034617,0.104886,0.112783,0.175216,0.099358,0.099881,0.091291,0.07927,0.049391,0.082217,0.381586,0.142449,0.150112,0.197648,0.376328,0.202643,0.232773,0.09919,0.090846,0.133366,0.182283
20,0.0,0.075747,0.092936,0.029734,0.12294,0.070046,0.174629,0.128901,0.100358,0.143741,0.08838,0.063302,0.071612,0.401251,0.167097,0.097336,0.143492,0.232296,0.184344,0.238368,0.092923,0.132381,0.160415,0.114957
21,5.0,0.108031,0.090188,0.034633,0.099726,0.096807,0.174812,0.049777,0.098057,0.122585,0.085484,0.041731,0.119303,0.324013,0.141588,0.096091,0.196831,0.287977,0.201758,0.186336,0.124966,0.098066,0.146597,0.160425
22,10.0,0.055759,0.107101,0.03086,0.107497,0.056799,0.212291,0.033506,0.146128,0.108904,0.09045,0.037912,0.084359,0.243699,0.223508,0.051763,0.190598,0.455338,0.172679,0.240216,0.028029,0.096252,0.09841,0.15096
23,15.0,0.130333,0.118737,-0.01063,0.104732,0.136675,0.207809,0.066412,0.109423,0.125592,0.09483,0.031297,0.152827,0.170591,0.239012,0.093293,0.160449,0.23987,0.23242,0.216327,0.082016,0.145338,0.10302,0.139807
24,20.0,0.141934,0.095294,0.0668,0.143256,0.045939,0.17581,0.066498,0.091482,0.103404,0.094045,0.042294,0.173803,0.225231,0.192222,0.059853,0.123596,0.278421,0.212732,0.23487,0.110778,0.082752,0.102136,0.145999
25,25.0,0.095896,0.099343,0.036954,0.096549,0.105623,0.200365,0.068108,0.116498,0.079521,0.081976,0.040758,0.047453,0.213792,0.18898,0.097586,0.103535,0.21416,0.188334,0.209855,0.165023,0.055847,0.167915,0.138876
26,30.0,0.116763,0.135211,0.007181,0.161214,0.085097,0.224144,0.10196,0.0934,0.119796,0.104871,0.047261,0.070238,0.183515,0.134892,0.064811,0.198209,0.357574,0.179065,0.222497,0.020068,0.056702,0.097751,0.161892
27,35.0,0.101892,0.123984,0.050923,0.122281,0.128058,0.180514,0.069718,0.11146,0.130164,0.101244,0.068051,0.17102,0.181905,0.272335,0.051513,0.151268,0.23822,0.22428,0.19418,0.039792,0.0756,0.084334,0.172142
28,40.0,0.130017,0.14916,0.048123,0.109501,0.090635,0.217391,0.069069,0.110102,0.106374,0.110692,0.047166,0.121385,0.278427,0.133952,0.054164,0.186162,0.191152,0.153645,0.259211,0.100369,0.060586,0.080844,0.191549
